Player,Team,Season,Off Poss,Misses,Team REB% off Own Misses,Team REB% off Teammate Misses,Team PPP on Own Misses,TeamPPP on Teammate Misses,PPP Gap,Reb% Gap,POE by Second Chance Effeciency,POE by Rebound%,POE by Both,POE by SC Eff Per 100,POE by Reb% Per 100,POE by Both per 100
A.J. Lawson,Dallas Mavericks,2024,664,67,0.269,0.241,1.125,1.282,-0.157,2.80%,-2.833,2.12,-0.416,-0.427,0.319,-0.063
AJ Green,Milwaukee Bucks,2024,1205,113,0.23,0.238,1.25,1.281,-0.031,-0.80%,-0.816,-1.099,-1.942,-0.068,-0.091,-0.161
AJ Griffin,Atlanta Hawks,2024,360,44,0.25,0.292,1.625,1.218,0.407,-4.20%,4.473,-3.017,2.211,1.242,-0.838,0.614
Aaron Gordon,Denver Nuggets,2024,4546,318,0.358,0.276,1.379,1.252,0.127,8.20%,14.47,36.287,47.417,0.318,0.798,1.043
Aaron Holiday,Houston Rockets,2024,2572,231,0.29,0.276,1.085,1.242,-0.157,1.40%,-10.551,3.626,-6.399,-0.41,0.141,-0.249
Aaron Nesmith,Indiana Pacers,2024,4131,320,0.231,0.268,1.359,1.317,0.042,-3.70%,3.167,-15.779,-12.115,0.077,-0.382,-0.293
Aaron Wiggins,Oklahoma City Thunder,2024,2474,165,0.242,0.237,1.417,1.204,0.213,0.50%,8.524,1.196,9.54,0.345,0.048,0.386
Adama Sanogo,Chicago Bulls,2024,134,13,0.462,0.277,1.4,1.228,0.172,18.50%,1.029,3.35,3.969,0.768,2.5,2.962
Admiral Schofield,Orlando Magic,2024,171,16,0.125,0.282,0,1.264,-1.264,-15.70%,-2.528,0,-5.699,-1.478,0,-3.333
Al Horford,Boston Celtics,2024,3452,205,0.283,0.268,1.469,1.306,0.163,1.50%,9.455,4.59,13.536,0.274,0.133,0.392
Alec Burks,New York Knicks,2024,578,113,0.345,0.323,1.152,1.213,-0.061,2.20%,-2.404,2.846,0.594,-0.416,0.492,0.103
Alec Burks,Detroit Pistons,2024,1836,246,0.248,0.26,1.113,1.192,-0.079,-1.20%,-4.806,-3.173,-8.204,-0.262,-0.173,-0.447
Aleksej Pokusevski,Oklahoma City Thunder,2024,122,12,0.083,0.238,2,1.204,0.796,-15.50%,0.796,-3.713,-1.438,0.653,-3.043,-1.179
Aleksej Pokusevski,Charlotte Hornets,2024,669,60,0.133,0.234,1.25,1.218,0.032,-10.10%,0.254,-7.563,-7.117,0.038,-1.131,-1.064
Alex Caruso,Chicago Bulls,2024,4037,288,0.236,0.281,1.213,1.228,-0.015,-4.50%,-1.042,-15.834,-17.077,-0.026,-0.392,-0.423
Alex Fudge,Dallas Mavericks,2024,52,4,0.25,0.241,3,1.282,1.718,0.90%,1.718,0.108,1.764,3.303,0.207,3.392
Gabe Vincent,Los Angeles Lakers,2024,452,34,0.294,0.223,2.125,1.177,0.948,7.10%,9.482,5.129,12.322,2.098,1.135,2.726
Alex Len,Sacramento Kings,2024,890,31,0.29,0.27,1,1.277,-0.277,2.00%,-2.489,0.615,-1.703,-0.28,0.069,-0.191
Alperen Sengun,Houston Rockets,2024,4118,455,0.264,0.278,1.092,1.242,-0.15,-1.40%,-18.047,-7.091,-26.115,-0.438,-0.172,-0.634
Amari Bailey,Charlotte Hornets,2024,128,16,0.375,0.232,1.5,1.218,0.282,14.30%,1.691,3.432,4.478,1.321,2.681,3.498
Amen Thompson,Houston Rockets,2024,2848,207,0.304,0.275,1.407,1.242,0.165,2.90%,10.406,8.582,17.981,0.365,0.301,0.631
Amir Coffey,LA Clippers,2024,2955,186,0.269,0.264,1.262,1.218,0.044,0.50%,2.192,1.099,3.253,0.074,0.037,0.11
Andre Drummond,Chicago Bulls,2024,2604,213,0.446,0.268,1.564,1.228,0.336,17.80%,31.888,59.187,78.373,1.225,2.273,3.01
Andre Jackson Jr.,Milwaukee Bucks,2024,1157,50,0.32,0.237,1.312,1.281,0.031,8.30%,0.498,5.479,5.847,0.043,0.474,0.505
Andrew Funk,Chicago Bulls,2024,26,4,0.5,0.278,1,1.228,-0.228,22.20%,-0.457,0.889,0.635,-1.757,3.418,2.441
